2017/02/04 18:14:31 D:/vagrant_shared/firefox/native-node-example/app/main.go:27: message
2017/02/04 18:14:31 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: hello
2017/02/04 18:15:27 D:/vagrant_shared/firefox/native-node-example/app/main.go:27: hi
2017/02/04 18:15:27 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: hello
2017/02/04 18:18:30 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:hi, Value:hello

2017/02/04 18:19:42 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 18:27:32 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:02:54 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:04:55 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:05:07 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:05:07 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:05:46 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:07:14 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:count: 0
2017/02/04 20:07:50 D:/vagrant_shared/firefox/native-node-example/app/main.go:28: Type:request, Value:hi
2017/02/04 20:08:48 D:/vagrant_shared/firefox/native-node-example/app/main.go:29: Type:request, Value:hi
2017/02/04 20:08:51 D:/vagrant_shared/firefox/native-node-example/app/main.go:29: Type:request, Value:hi
